rep_id,rep_name,region_id,hire_date
REP001,Allison Hill,4,2024-12-18
REP002,Noah Rhodes,5,2025-12-25
REP003,Angie Henderson,3,2024-12-04
REP004,Daniel Wagner,5,2026-07-30
REP005,Cristian Santos,5,2022-09-03
REP006,Connie Lawrence,2,2025-03-21
REP007,Abigail Shaffer,3,2024-01-19
REP008,Gina Moore,3,2024-10-01
REP009,Gabrielle Davis,3,2022-10-03
REP010,Ryan Munoz,5,2023-02-23
REP011,Monica Herrera,4,2024-03-19
REP012,Jamie Arnold,3,2026-05-30
REP013,Lisa Hensley,5,2026-03-17
REP014,Michele Williams,2,2026-02-07
REP015,Dylan Miller,4,2023-12-24
REP016,Brian Ramirez,2,2023-09-09
REP017,Holly Wood,4,2022-12-01
REP018,Derek Zuniga,5,2023-09-12
REP019,Lisa Jackson,1,2026-05-28
REP020,Carla Gray,4,2025-01-31
REP021,Margaret Hawkins DDS,2,2023-01-03
REP022,Patty Perez,5,2023-01-14
REP023,Ethan Adams,4,2025-10-13
REP024,Tommy Walter,1,2024-09-26
REP025,Matthew Foster,1,2026-02-21
REP026,Judy Baker,3,2022-12-19
REP027,Justin Baker,3,2025-11-27
REP028,Stephanie Ross,2,2024-12-08
REP029,Zachary Hicks,4,2025-12-05
REP030,Anthony Rodriguez,4,2023-03-17
REP031,Rebecca Henderson,3,2023-03-21
REP032,James Ferrell,4,2025-06-23
REP033,Tricia Valencia,4,2024-09-10
REP034,Nathan Maldonado,1,2025-01-04
REP035,Debra Davidson,3,2023-05-17
REP036,Jeffrey Chavez,5,2023-10-19
REP037,Sherri Baker,3,2024-11-30
REP038,Cassandra Gaines,5,2026-05-20
REP039,Elizabeth Fowler,1,2025-04-02
REP040,Brittany Farmer,2,2024-06-21
