rep_name,weighted_forecast,monthly_target,coverage_ratio,at_risk,relative_risk
Margaret Hawkins DDS,23946.16,5365.91,4.46,False,True
Tricia Valencia,21420.49,4310.14,4.97,False,True
Monica Herrera,21556.78,4087.61,5.27,False,True
Elizabeth Fowler,16869.88,3123.35,5.4,False,True
Debra Davidson,19695.68,3340.12,5.9,False,True
Stephanie Ross,20648.88,3409.03,6.06,False,True
Lisa Hensley,24505.23,3897.43,6.29,False,True
James Ferrell,24728.63,3641.66,6.79,False,True
Holly Wood,25028.01,3631.74,6.89,False,True
Nathan Maldonado,23109.6,3279.52,7.05,False,True
Gina Moore,20903.86,2891.54,7.23,False,False
Anthony Rodriguez,22713.69,3135.81,7.24,False,False
Michele Williams,23602.72,3214.03,7.34,False,False
Tommy Walter,19242.63,2360.88,8.15,False,False
Ryan Munoz,28146.62,3427.5,8.21,False,False
Derek Zuniga,22680.91,2675.09,8.48,False,False
Abigail Shaffer,26912.82,2838.93,9.48,False,False
Judy Baker,34759.98,3665.14,9.48,False,False
Lisa Jackson,27302.45,2728.62,10.01,False,False
Rebecca Henderson,26833.02,2624.33,10.22,False,False
Angie Henderson,24154.52,2205.51,10.95,False,False
Jeffrey Chavez,24179.44,2059.09,11.74,False,False
Carla Gray,19108.57,1568.9,12.18,False,False
Dylan Miller,24483.08,1683.03,14.55,False,False
Daniel Wagner,20846.55,1240.98,16.8,False,False
Noah Rhodes,24521.39,1407.04,17.43,False,False
Justin Baker,22186.02,1249.33,17.76,False,False
Sherri Baker,30172.47,1460.92,20.65,False,False
Brian Ramirez,24566.69,1179.59,20.83,False,False
Brittany Farmer,31103.94,1382.57,22.5,False,False
Allison Hill,31273.29,1372.03,22.79,False,False
Connie Lawrence,26284.07,1148.08,22.89,False,False
Cassandra Gaines,29490.98,1111.38,26.54,False,False
Zachary Hicks,27582.28,859.22,32.1,False,False
Patty Perez,25831.44,742.02,34.81,False,False
Ethan Adams,21302.83,573.67,37.13,False,False
Matthew Foster,29071.02,772.84,37.62,False,False
Gabrielle Davis,23730.51,515.69,46.02,False,False
Cristian Santos,25870.8,484.87,53.36,False,False
Jamie Arnold,28328.27,293.38,96.56,False,False
