region_name,rep_name,total_won_revenue,rank_in_region
Central,Lisa Hensley,17006.85,1
Central,Derek Zuniga,15296.47,2
Central,Ryan Munoz,10199.55,3
Central,Daniel Wagner,7940.2,4
Central,Jeffrey Chavez,7158.67,5
Central,Cassandra Gaines,6790.83,6
Central,Noah Rhodes,6600.91,7
Central,Patty Perez,4346.5,8
Central,Cristian Santos,3910.32,9
East,Gina Moore,22480.7,1
East,Justin Baker,17560.57,2
East,Abigail Shaffer,17190.57,3
East,Rebecca Henderson,15454.08,4
East,Debra Davidson,14999.32,5
East,Judy Baker,13408.36,6
East,Angie Henderson,12832.44,7
East,Gabrielle Davis,10543.92,8
East,Jamie Arnold,9163.29,9
East,Sherri Baker,7357.87,10
North,Elizabeth Fowler,17771.86,1
North,Tommy Walter,14486.95,2
North,Lisa Jackson,12262.52,3
North,Nathan Maldonado,11657.91,4
North,Matthew Foster,11416.18,5
South,Margaret Hawkins DDS,21372.06,1
South,Michele Williams,14180.98,2
South,Stephanie Ross,13995.93,3
South,Brittany Farmer,7721.26,4
South,Connie Lawrence,7296.21,5
South,Brian Ramirez,6321.82,6
West,James Ferrell,24592.17,1
West,Tricia Valencia,17849.47,2
West,Monica Herrera,16270.83,3
West,Holly Wood,12772.43,4
West,Anthony Rodriguez,12649.37,5
West,Allison Hill,10277.48,6
West,Zachary Hicks,8740.05,7
West,Dylan Miller,7454.1,8
West,Carla Gray,7225.45,9
West,Ethan Adams,4978.34,10
