rep_name,region_name,deals_won,deals_closed,win_rate
Elizabeth Fowler,North,33,47,0.702
Carla Gray,West,21,31,0.677
Abigail Shaffer,East,29,43,0.674
Gina Moore,East,36,56,0.643
James Ferrell,West,32,52,0.615
Tommy Walter,North,23,38,0.605
Jamie Arnold,East,20,34,0.588
Lisa Hensley,Central,36,62,0.581
Rebecca Henderson,East,22,38,0.579
Margaret Hawkins DDS,South,25,45,0.556
Cassandra Gaines,Central,21,38,0.553
Sherri Baker,East,17,31,0.548
Noah Rhodes,Central,23,42,0.548
Lisa Jackson,North,26,48,0.542
Michele Williams,South,26,48,0.542
Ryan Munoz,Central,20,37,0.541
Dylan Miller,West,28,52,0.538
Allison Hill,West,22,41,0.537
Derek Zuniga,Central,26,49,0.531
Daniel Wagner,Central,21,40,0.525
Gabrielle Davis,East,23,44,0.523
Angie Henderson,East,24,46,0.522
Debra Davidson,East,16,31,0.516
Anthony Rodriguez,West,24,47,0.511
Jeffrey Chavez,Central,24,48,0.5
Holly Wood,West,25,51,0.49
Tricia Valencia,West,21,44,0.477
Connie Lawrence,South,23,49,0.469
Brian Ramirez,South,21,46,0.457
Brittany Farmer,South,21,46,0.457
Judy Baker,East,22,49,0.449
Ethan Adams,West,22,49,0.449
Matthew Foster,North,21,47,0.447
Justin Baker,East,20,45,0.444
Zachary Hicks,West,25,57,0.439
Nathan Maldonado,North,21,50,0.42
Cristian Santos,Central,20,50,0.4
Monica Herrera,West,15,38,0.395
Patty Perez,Central,17,43,0.395
Stephanie Ross,South,17,43,0.395
